provider,website,email,phone
People First,https://wearepeoplefirst.co.uk/advocacy/,admin@wearepeoplefirst.co.uk,03003038037
Integrated Single Point of Access (iSPA),https://www.hartlepoolnow.co.uk/organisations/28296-integrated-single-point-access-ispa,ispa@hartlepool.gov.uk,01429272905
Darlington Association on Disability (DAD),https://www.darlingtondisability.org/advocacy/who-we-can-help,mail@darlingtondisability.org,01325489999
Healthwatch Halton,https://www.healthwatchhalton.co.uk/advocacy-hub,advocacy@weareecs.co.uk,01513478183
Halton Borough Council,https://www3.halton.gov.uk/Pages/health/abuse.aspx,idva@halton.gov.uk,01515118181
Warrington Speak Up,https://www.warringtonspeakup.org.uk/our-advocacy-work/,info@advocacyhub.org.uk,01925246888
Healthwatch Warrington,https://www.healthwatchwarrington.co.uk/advice-and-information/2022-07-26/nhs-complaints-advocacy,advocacy@weareecs.co.uk,01513478183
N-Compass (Blackburn with Darwen Advocacy Hub),https://www.n-compass.org.uk/get-support/advocacy/blackburn-with-darwen-advocacy-hub/,bwddutyadvocate@n-compass.org.uk,03300022200
VoiceAbility,https://www.voiceability.org/support-and-help/services-in-your-area,helpline@voiceability.org,03003031660
Empowerment Charity,https://empowermentcharity.org.uk/blackpool-advocacy-hub/,info@blackpooladvocacyhub.org.uk,03003230251
Cloverleaf Advocacy,https://cloverleaf-advocacy.co.uk/advocacy/,referrals@cloverleaf-advocacy.co.uk,01924454875
POhWER,https://www.pohwer.net/,pohwer@pohwer.net,03004562370
York Advocacy Hub,https://www.yorkadvocacy.org.uk/our-services/,office@yorkadvocacy.org.uk,01904414357
Disability Direct,https://disabilitydirect.com/dd-advocacy/,info@disabilitydirect.com,01332299449
Onside Advocacy,https://www.onside-advocacy.org.uk/advocacy,info@onside-advocacy.org.uk,0190527525
Hear Me children's rights and advocacy service,https://www.herefordshire.gov.uk/family-support/hear-me-childrens-rights-and-advocacy-service/,hearme@herefordshire.gov.uk,01432383113
ASIST,https://asist.co.uk/,enquiries@asist.co.uk,03008001000
Your Say Advocacy,https://www.yoursay-advocacy.com/,admin@yoursay-advocacy.com,01291417933
The Advocacy People,https://www.theadvocacypeople.org.uk/our-areas,info@theadvocacypeople.org.uk,03304409000
Disability Together,https://disabilitytogether.org.uk/support/advocacy/advocacy-services/,devonadvocacy@disabilitytogether.org.uk,01392822377
Swindon Advocacy Movement (SAM),https://www.swindonadvocacy.org.uk/our-services/,info@swindonadvocacy.org.uk,01793542575
Advocacy 1st,https://advocacy1st.co.uk/,info@advocacy1st.co.uk,
SOS Advocacy Hub,https://www.sosadvocacyhub.org/,advocacy@southessexadvocacy.org,01702340566
Libra Partnership,https://www.librapartnership.co.uk/advocacy-services,admin@librapartnership.co.uk,01622200806
SWAN Advocacy,https://swanadvocacy.org.uk/services-near-you/,reception@swanadvocacy.org.uk,03333447928
Matrix SDT,https://www.matrixsdt.com/,enquiries@matrixsdt.com,
Rethink Advocacy,https://www.rethinkadvocacy.org.uk/our-services/,advocacyreferralhub@rethink.org,03007900559
Healthwatch Shropshire,https://www.healthwatchshropshire.co.uk/complaints-advocacy-service,enquiries@healthwatchshropshire.co.uk,01743237884
Adapt (North East),https://adapt-ne.org.uk/index.php/advocacy-in-northumberland/,advocacy@adapt-tynedale.org.uk,01434600599
N-Compass (Bury Advocacy Hub),https://www.n-compass.org.uk/get-support/advocacy/bury-advocacy-hub/,referral@buryadvocacyhub.co.uk,03003030206
Together for Mental Wellbeing (Advocacy Together Hub Rochdale),https://www.together-uk.org/service-finder/advocacy-together-hub-rochdale/,rochdaleadvocacy@together-uk.org,01706641389
Mind in Salford,https://www.mindinsalford.org.uk/services/advocacy/,admin@mindinsalford.org.uk,01617101070
